fips,state,county,urban,urban_index,missing_urban,gisjoin,countya,tracta,blkgrpa,geo_id,tl_geo_id,name_e,median_age,n_65_plus,total_pop,latino,white,black,bachelor_plus,median_income,ssi,snap,married,veteran,owner_occupied,household_size,broadband,employed,rent_as_perc_income,block_group,bg_GEOID,bg_state_fp,bg_county_fp,bg_population,bg_hh_population,bg_land_area,bg_water_area,num_precincts_contributing,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOFUE,G20PREOHAM,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR,total_votes,turnout,dem_share,median_age,perc_65_plus,perc_latino,perc_white,perc_black,perc_bachelor_plus,perc_ssi,perc_snap,perc_married,perc_veteran,perc_owner_occupied,household_size,perc_broadband,perc_employed,rent_as_perc_income,median_income,perc_vote_dem,perc_voter_turnout
34021,NJ,mercer,9,3.0,0.0,G34002100001001,21,100,1,340210001001,340210001001.0,"Block Group 1, Census Tract 1, Mercer County, New Jersey",49.6,0.02,1548.0,33.46,29.39,36.82,18.28,16573.0,7.3,8.46,28.94,1.49,14.08,2.04,18.35,29.52,0.5007949,340210001001,340210001001,34,21,1553,1553,818297,233383,4,67.0865104976748,249.984537217234,1.4801157327953,0.262449900387376,0.0,0.0084615579655381,0.500578229038174,0.493323876506994,240.776247850569,55.1509898458584,1.00130056135067,7.3855046657419,0.740057866397651,319.8159770116022,0.20593430586709735,0.7884180502093809,3,2,3,1,3,1,3,3,1,2,1,1,3,1,3,1,3,1
34023,NJ,middlesex,10,3.0,0.0,G34002300001011,23,101,1,340230001011,340230001011.0,"Block Group 1, Census Tract 1.01, Middlesex County, New Jersey",44.6,0.02,1309.0,7.87,87.7,8.25,29.11,99564.0,0.0,0.0,38.35,4.58,42.93,2.16,19.56,47.75,1.0,340230001011,340230001011,34,23,1914,1907,693003,0,2,481.351426561632,458.046891067442,6.72767020991535,3.95677494438575,1.31892498146192,0.923631755176534,0.923631755176534,0.0,448.023829744638,461.696754460777,11.4750316068719,6.72767020991535,4.4851134732769,953.24895127519,0.49804020442799896,0.4875960308546178,2,2,2,3,2,2,1.0,1.0,1,3,3,1,3,1,3,2,1,2
34025,NJ,monmouth,10,3.0,0.0,G34002508001011,25,800101,1,340258001011,340258001011.0,"Block Group 1, Census Tract 8001.01, Monmouth County, New Jersey",56.9,0.02,1625.0,6.58,91.2,0.86,42.4,55809.0,3.88,0.0,38.83,7.88,42.03,1.58,14.15,54.95,0.49418604,340258001011,340258001011,34,25,1809,1809,672766,1008642,5,583.215624733425,531.555885669864,10.5310118570834,3.23026978011248,0.145629444372346,0.103582866194587,1.73849619026947,0.0651546971896881,515.337822679737,561.939474516127,12.1039996960991,9.45044353937707,3.61564109461053,1130.5856552385108,0.6249782505464404,0.47682944954124623,3,2,1,3,1,3,3,1.0,1,3,3,1,3,2,3,1,1,3
34027,NJ,morris,10,3.0,0.0,G34002700401011,27,40101,1,340270401011,340270401011.0,"Block Group 1, Census Tract 401.01, Morris County, New Jersey",39.4,0.01,1482.0,7.49,79.76,11.13,38.73,154306.0,0.0,0.2,51.35,4.05,33.94,3.09,8.7,60.39,0.3043478,340270401011,340270401011,34,27,1377,1377,1052843,13435,2,455.967447022173,305.453383524478,5.34346614228103,2.03144092320267,0.258615994917772,0.763352306040148,0.0,0.258615994917772,303.66806291748,427.982027693605,3.2995295403652,1.5267046120803,0.763352306040148,770.0763219080105,0.55924206384024,0.40116236812851863,2,1,2,2,3,2,1.0,2,2,3,3,3,1,3,2,3,1,2
34029,NJ,ocean,10,3.0,0.0,G34002907101011,29,710101,1,340297101011,340297101011.0,"Block Group 1, Census Tract 7101.01, Ocean County, New Jersey",50.3,0.02,720.0,5.83,99.58,0.28,58.75,250001.0,1.94,0.0,55.14,0.28,33.33,2.86,10.42,71.94,0.0,340297101011,340297101011,34,29,1090,1045,540668,352608,5,425.219958923368,308.927604479833,4.46507025711625,1.01015284774901,0.505076423874505,0.0,0.0,1.73119780875625,289.288870429133,426.906287483252,4.97014668099076,4.69599521053949,1.723719600611,741.8590607406971,0.6806046428813736,0.4207976977377325,3,2,1,3,1,3,3,1.0,3,1,3,2,2,3,1,3,1,3
34031,NJ,passaic,10,3.0,0.0,G34003101165001,31,116500,1,340311165001,340311165001.0,"Block Group 1, Census Tract 1165, Passaic County, New Jersey",32.7,0.01,2007.0,3.59,96.56,2.49,33.28,115000.0,3.24,3.99,39.61,3.99,24.71,2.7,9.42,46.29,0.664,340311165001,340311165001,34,31,2028,1925,2581274,248262,3,501.426750170905,477.912685872884,9.0992679333755,4.63628000495238,0.696294294133662,0.696294294133662,0.696294294133662,0.696294294133662,476.781598393419,464.655254524746,14.3758771889156,8.48265973760673,6.2903697020219,995.8601611586513,0.49105530629124816,0.48799493646809017,1,1,1,3,2,2,3,3,1,3,2,2,1,1,3,2,1,2
34033,NJ,salem,10,3.0,0.0,G34003300201001,33,20100,1,340330201001,340330201001.0,"Block Group 1, Census Tract 201, Salem County, New Jersey",39.5,0.01,1683.0,4.28,95.96,3.09,23.83,109420.0,1.9,1.31,50.21,7.31,31.79,2.88,3.68,51.46,0.41111112,340330201001,340330201001,34,33,1762,1724,50531558,3052966,2,680.0,440.0,17.0,2.0,0.0,0.0,3.0,4.0,437.0,659.0,15.0,17.0,8.0,1146.0,0.6503972758229285,0.39285714285714285,2,1,1,3,2,2,3,2,2,3,2,2,1,2,2,2,1,3
34035,NJ,somerset,10,3.0,0.0,G34003500501001,35,50100,1,340350501001,340350501001.0,"Block Group 1, Census Tract 501, Somerset County, New Jersey",44.3,0.02,1091.0,27.77,62.79,14.12,41.89,86571.0,10.54,8.34,36.3,2.47,15.86,1.96,16.22,43.72,0.17391305,340350501001,340350501001,34,35,877,612,339640,0,3,92.0813173984291,252.279994392325,4.51418357336217,1.58096048012882,0.0,0.212408760798345,0.0,0.0,246.174040536377,93.8774262912408,5.31554801842404,2.42252537274969,0.526986826709607,350.6688646050434,0.3998504727537553,0.7326026059095138,2,2,3,2,3,3,3,3,1,2,1,1,3,1,2,1,3,1
34037,NJ,sussex,10,3.0,0.0,G34003703710001,37,371000,1,340373710001,340373710001.0,"Block Group 1, Census Tract 3710, Sussex County, New Jersey",36.6,0.01,1499.0,4.87,87.93,0.33,21.88,107850.0,1.0,1.13,51.3,2.67,39.29,2.83,7.67,51.97,0.0,340373710001,340373710001,34,37,1411,1394,30533819,1990869,2,524.80778751726,219.74522054078,7.0453352051001,2.23229671224447,1.11614835612223,0.0,1.0,1.23229671224447,217.512923828535,498.484820394815,15.6260769857113,8.6968901367334,3.3484450683667,757.1790850437511,0.5366258575788456,0.29513710664325227,1,1,1,3,1,1,2,2,2,2,3,2,1,2,1,2,1,2
34039,NJ,union,10,3.0,0.0,G34003900302001,39,30200,1,340390302001,340390302001.0,"Block Group 1, Census Tract 302, Union County, New Jersey",35.6,0.01,890.0,27.75,1.12,56.18,7.08,78750.0,2.25,3.37,29.21,0.0,9.21,3.0,11.69,51.24,0.48672566,340390302001,340390302001,34,39,811,798,252763,0,1,24.1805419683548,155.158477630277,0.67168172134319,0.335840860671595,0.0,0.0,0.0,0.0,156.837681933635,17.1278838942513,0.335840860671595,0.335840860671595,0.67168172134319,180.34654218064657,0.22237551440277012,0.865168539325843,1,1,3,1,3,1,3,3,1,1,1,3,2,2,3,1,3,1
